'OddCycle.transition_first_length' depends on axioms: [propext, Quot.sound]
'OddCycle.lengthPositionDifference_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.lengthGenerator_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.constant_lengthGenerator' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.lengthGenerator_budget_independent' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.byLengthCapacity_increment' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.positiveByLengthAllocation' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.capacity_lengthGenerator' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.ClosedClass.cut_mem' depends on axioms: [propext, Quot.sound]
'OddCycle.ClosedClass.wordCutEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.ClosedClass.length_weight_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.ClosedClass.length_weight_at' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.ClosedClass.normalized_length_marginal' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.oiCanonicalWeight_byLength' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.ClosedClass.canonical_length_marginal' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.lengthLaw_simplex' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.lengthCanonical_detailed_balance' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.lengthCanonical_generator_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.ClosedClass.canonical_length_observables' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.unit_exceptional_hidden_defect' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.balanced_orientation_change_head' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.balanced_orientation_change_boundary' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.balanced_orientation_change_unique_position' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.FiniteMarkov.evolve_simplex' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.FiniteMarkov.evolve_dominated' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.FiniteMarkov.mass_sub_le_totalVariation' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.FiniteMarkov.totalVariation_mixture' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.FiniteMarkov.bottleneck_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.FiniteMarkov.half_bottleneck_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.FiniteMarkov.poisson_first_moment' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.FiniteMarkov.poissonEvolve_simplex' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.FiniteMarkov.poissonEvolve_stationary' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.FiniteMarkov.poisson_bottleneck_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'OddCycle.FiniteMarkov.poisson_half_bottleneck_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
